timestamp,customer_id,amount
2023-01-01 00:00:43,CUST005728,26.01
2023-01-01 00:00:58,CUST008579,354.63
2023-01-01 00:10:49,CUST006190,929.87
2023-01-01 00:14:51,CUST001607,172.78
2023-01-01 00:44:38,CUST005532,687.38
2023-01-01 00:45:17,CUST000229,294.66
2023-01-01 00:47:14,CUST007871,626.66
2023-01-01 00:50:32,CUST000282,394.36
2023-01-01 00:55:08,CUST005541,325.27
2023-01-01 00:58:05,CUST001013,453.31
2023-01-01 01:00:44,CUST002482,468.31
2023-01-01 01:07:30,CUST000937,629.19
2023-01-01 01:11:32,CUST005315,675.76
2023-01-01 01:27:06,CUST004632,461.06
2023-01-01 01:40:31,CUST005019,794.16
2023-01-01 02:07:41,CUST004399,379.32
2023-01-01 02:14:56,CUST006434,330.71
2023-01-01 02:16:36,CUST004448,723.16
2023-01-01 02:19:49,CUST000672,18.7
2023-01-01 02:19:57,CUST001521,482.93
2023-01-01 02:23:16,CUST000313,712.91
2023-01-01 02:28:11,CUST002497,702.43
2023-01-01 02:34:17,CUST009222,235.92
2023-01-01 02:52:44,CUST006708,674.59
2023-01-01 03:00:26,CUST004585,845.31
2023-01-01 03:11:17,CUST003093,414.84
2023-01-01 03:14:50,CUST003599,180.91
2023-01-01 03:16:17,CUST008373,492.7
2023-01-01 03:26:57,CUST000923,397.94
2023-01-01 03:29:08,CUST008681,943.74
2023-01-01 03:31:57,CUST000578,111.64
2023-01-01 03:35:38,CUST004962,810.64
2023-01-01 03:36:11,CUST005644,721.43
2023-01-01 03:46:42,CUST001236,955.26
2023-01-01 03:50:10,CUST004735,680.17
2023-01-01 03:51:31,CUST001906,678.22
2023-01-01 03:57:21,CUST003496,899.2
2023-01-01 04:01:08,CUST007806,71.02
2023-01-01 04:03:33,CUST000484,966.09
2023-01-01 04:07:57,CUST006053,766.37
2023-01-01 04:14:03,CUST000029,902.04
2023-01-01 04:16:05,CUST003158,937.61
2023-01-01 04:26:29,CUST000647,635.44
2023-01-01 04:37:35,CUST008083,809.85
2023-01-01 04:41:29,CUST008908,197.1
2023-01-01 04:51:32,CUST004151,41.88
2023-01-01 04:53:51,CUST005814,601.76
2023-01-01 04:56:14,CUST000201,821.6
2023-01-01 05:03:01,CUST009657,611.82
2023-01-01 05:07:46,CUST005573,681.33
2023-01-01 05:09:16,CUST003770,153.28
2023-01-01 05:24:01,CUST007652,916.86
2023-01-01 05:34:08,CUST003077,289.36
2023-01-01 05:34:30,CUST003361,413.53
2023-01-01 05:34:38,CUST002953,901.79
2023-01-01 05:39:42,CUST009608,868.72
2023-01-01 05:47:42,CUST009722,5.44
2023-01-01 05:48:26,CUST001210,287.37
2023-01-01 05:48:29,CUST005771,600.59
2023-01-01 06:09:36,CUST008339,996.62
2023-01-01 06:12:49,CUST000813,903.49
2023-01-01 06:13:19,CUST001769,272.44
2023-01-01 06:13:20,CUST005082,617.39
2023-01-01 06:20:07,CUST009149,339.34
2023-01-01 06:42:22,CUST006512,279.41
2023-01-01 06:55:33,CUST006683,216.57
2023-01-01 06:57:02,CUST005902,489.53
2023-01-01 06:57:50,CUST000962,449.08
2023-01-01 07:10:01,CUST007746,182.09
2023-01-01 07:11:34,CUST000245,485.47
2023-01-01 07:13:14,CUST005658,80.39
2023-01-01 07:17:43,CUST008601,211.34
2023-01-01 07:27:07,CUST007362,993.47
2023-01-01 07:43:56,CUST003479,107.56
2023-01-01 07:47:58,CUST006477,716.18
2023-01-01 07:58:55,CUST004763,197.53
2023-01-01 07:59:50,CUST000945,199.57
2023-01-01 08:01:31,CUST004200,492.45
2023-01-01 08:04:45,CUST000933,947.65
2023-01-01 08:07:07,CUST000146,147.48
2023-01-01 08:07:11,CUST008327,663.1
2023-01-01 08:18:33,CUST002179,990.32
2023-01-01 08:20:49,CUST002791,342.98
2023-01-01 08:31:44,CUST003215,330.81
2023-01-01 08:35:58,CUST006087,618.42
2023-01-01 08:38:42,CUST009948,853.99
2023-01-01 08:42:49,CUST008932,651.27
2023-01-01 08:45:41,CUST000080,209.0
2023-01-01 08:49:34,CUST008062,494.05
2023-01-01 09:04:13,CUST007489,661.09
2023-01-01 09:04:42,CUST001447,993.74
2023-01-01 09:07:31,CUST002939,736.11
2023-01-01 09:09:31,CUST000951,668.76
2023-01-01 09:14:15,CUST009568,33.25
2023-01-01 09:15:55,CUST001541,152.66
2023-01-01 09:16:09,CUST007109,558.22
2023-01-01 09:17:59,CUST007181,581.5
2023-01-01 09:23:31,CUST008737,713.83
2023-01-01 09:24:39,CUST003124,477.92
2023-01-01 09:25:08,CUST007784,184.46
2023-01-01 09:35:44,CUST002041,587.8
2023-01-01 09:49:07,CUST009401,29.04
2023-01-01 09:55:22,CUST000124,228.61
2023-01-01 10:02:53,CUST003184,433.11
2023-01-01 10:09:15,CUST006417,721.41
2023-01-01 10:11:49,CUST006502,453.16
2023-01-01 10:14:43,CUST004309,177.87
2023-01-01 10:16:43,CUST008459,600.26
2023-01-01 10:18:12,CUST003919,956.67
2023-01-01 10:18:47,CUST002709,893.61
2023-01-01 10:20:26,CUST008930,400.63
2023-01-01 10:36:08,CUST005040,867.6
2023-01-01 10:39:37,CUST003379,544.37
2023-01-01 10:39:42,CUST002265,813.93
2023-01-01 10:42:20,CUST005517,920.54
2023-01-01 10:44:11,CUST004080,690.18
2023-01-01 10:48:12,CUST008173,879.44
2023-01-01 10:48:35,CUST004069,179.47
